청송군	 	18.6	 	 	23.3	18.1	72	 	73	북동	5.8	1023.7
청주	흐림	20 이상	9	0	25.0	15.3	72	 	55	남동	7.9	1023.0
추풍령	 	19.9	 	 	21.9	16.1	69	 	70	동북동	12.6	1023.7
춘천	 	20 이상	 	 	26.0	16.2	74	 	55	북북서	1.8	1023.4
충주	 	19.7	 	 	25.2	16.3	73	 	58	동	6.1	1023.4
태백	 	20 이상	 	 	22.2	10.9	68	 	49	남	6.8	1022.2
통영	 	19.8	 	 	26.8	17.8	75	 	58	북	6.5	1022.3
포항	구름많음	20 이상	7	4	24.2	20.3	74	 	79	북동	14.4	1024.5
함양군	 	20 이상	 	 	25.6	20.1	75	 	72	동	3.6	1022.1
합천	 	19.1	 	 	27.2	16.4	75	 	52	동남동	4.3	1022.4
해남	 	20 이상	 	 	25.7	18.1	74	 	63	동북동	7.6	1021.7
홍성	흐림	20 이상	9	0	24.1	16.1	72	 	61	남동	7.2	1022.6
홍천	 	20 이상	 	 	27.3	16.2	75	 	51	서북서	5.4	1022.9
흑산도	구름많음	20 이상	8	0	22.5	17.1	70	 	72	북북동	16.2	1021.9
